Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating
EMP0067,45,Non-binary,Software Engineer,IT,6,Hybrid,46,3,1
EMP0068,60,Female,Marketing,Education,32,Remote,20,6,2
EMP0069,32,Female,Designer,Manufacturing,23,Onsite,51,8,2
EMP0070,25,Female,Marketing,Finance,6,Remote,28,13,2
EMP0071,43,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,4
EMP0072,50,Prefer not to say,Designer,Consulting,25,Remote,29,13,1
EMP0073,28,Prefer not to say,Designer,Retail,15,Onsite,30,14,5
EMP0074,23,Non-binary,Software Engineer,IT,29,Hybrid,53,7,3
EMP0075,38,Prefer not to say,Project Manager,Consulting,35,Onsite,57,10,2
EMP0076,42,Male,Marketing,Retail,27,Onsite,49,3,5
EMP0077,31,Non-binary,HR,Consulting,4,Onsite,55,8,4
EMP0078,28,Female,Marketing,Healthcare,25,Remote,37,10,5
EMP0079,29,Male,Data Scientist,Manufacturing,15,Remote,51,5,2
EMP0080,27,Male,Project Manager,Consulting,21,Hybrid,21,7,5
EMP0081,54,Female,Data Scientist,Education,5,Hybrid,21,10,3
EMP0082,42,Non-binary,Software Engineer,Finance,33,Onsite,44,9,4
EMP0083,58,Prefer not to say,HR,Education,32,Hybrid,26,10,3
EMP0084,26,Female,Project Manager,Healthcare,15,Hybrid,43,6,4
EMP0085,56,Male,Designer,Retail,9,Hybrid,42,14,4
EMP0086,50,Male,Designer,Finance,20,Hybrid,44,8,4
EMP0087,55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,1
EMP0088,22,Prefer not to say,Data Scientist,Education,26,Hybrid,43,5,1
EMP0089,24,Female,Designer,Consulting,11,Remote,38,0,5
EMP0090,53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,4
EMP0091,57,Female,Data Scientist,Retail,2,Onsite,57,4,4
EMP0092,22,Female,Software Engineer,Manufacturing,9,Onsite,60,3,1
EMP0093,41,Male,Data Scientist,IT,31,Onsite,29,0,5
EMP0094,46,Non-binary,Data Scientist,Education,34,Remote,54,12,4
EMP0095,60,Non-binary,Project Manager,Education,11,Onsite,31,11,5
EMP0096,44,Female,Project Manager,Manufacturing,2,Remote,54,8,5
EMP0097,35,Male,Data Scientist,Healthcare,31,Hybrid,33,11,1
EMP0098,48,Male,Designer,IT,32,Hybrid,25,1,4
EMP0099,31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,1
EMP0100,53,Male,Project Manager,IT,12,Hybrid,45,10,2
EMP0101,32,Prefer not to say,Designer,Manufacturing,32,Onsite,53,5,1
EMP0102,33,Prefer not to say,Sales,Consulting,9,Hybrid,46,12,1
EMP0103,45,Prefer not to say,Sales,IT,3,Hybrid,22,9,4
EMP0104,50,Male,Software Engineer,Finance,18,Hybrid,60,12,4
EMP0105,41,Female,Designer,Education,30,Hybrid,42,2,4
EMP0106,43,Non-binary,Data Scientist,Healthcare,18,Onsite,60,2,3
EMP0107,29,Prefer not to say,HR,IT,25,Onsite,35,14,1
EMP0108,44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,2
EMP0109,50,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,2,4
EMP0110,36,Male,Data Scientist,Finance,4,Remote,22,7,5
EMP0111,34,Female,Data Scientist,Education,29,Hybrid,29,13,3
EMP0112,49,Male,HR,Finance,30,Remote,34,8,5
EMP0113,45,Female,Marketing,Retail,10,Remote,30,7,1
EMP0114,45,Prefer not to say,Data Scientist,Retail,21,Onsite,53,0,3
EMP0115,53,Female,Designer,Healthcare,25,Remote,29,5,2
EMP0116,29,Male,Marketing,Education,35,Onsite,27,1,3
EMP0117,34,Prefer not to say,Project Manager,Finance,5,Onsite,44,14,3
EMP0118,58,Female,Data Scientist,Education,25,Remote,42,13,2
EMP0119,38,Female,Data Scientist,Manufacturing,1,Hybrid,22,4,2
EMP0120,40,Prefer not to say,Project Manager,Consulting,27,Hybrid,34,13,2
EMP0121,45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,13,2
EMP0122,43,Non-binary,Marketing,Retail,18,Hybrid,48,6,5
EMP0123,50,Male,Software Engineer,Healthcare,35,Onsite,30,10,2
EMP0124,58,Prefer not to say,Sales,Consulting,14,Onsite,59,7,2
EMP0125,42,Non-binary,HR,Manufacturing,27,Remote,26,14,2
EMP0126,53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,1,3
EMP0127,36,Female,Marketing,Retail,8,Onsite,38,2,2
EMP0128,51,Female,Project Manager,Finance,21,Remote,34,0,5
EMP0129,27,Female,Designer,Consulting,15,Onsite,46,12,4
EMP0130,22,Female,Sales,Retail,21,Hybrid,35,2,3
EMP0131,32,Female,Designer,Education,16,Remote,23,9,1
EMP0132,32,Female,Marketing,Manufacturing,26,Remote,28,15,5
EMP0133,53,Male,Marketing,Retail,4,Onsite,57,10,3
EMP0134,26,Non-binary,Marketing,Manufacturing,29,Hybrid,29,4,1
EMP0135,60,Male,Marketing,Finance,2,Hybrid,39,1,4
EMP0136,51,Non-binary,Marketing,IT,26,Remote,46,4,5
EMP0137,44,Male,Data Scientist,Healthcare,14,Remote,26,9,2
EMP0138,48,Non-binary,Sales,IT,10,Remote,32,4,4
EMP0139,57,Non-binary,Data Scientist,Education,34,Remote,30,11,3
EMP0140,49,Non-binary,Project Manager,Education,11,Hybrid,48,3,5
EMP0141,32,Non-binary,Project Manager,Education,12,Onsite,44,13,1
EMP0142,49,Female,Project Manager,Healthcare,29,Hybrid,49,15,5
EMP0143,23,Female,Designer,Manufacturing,11,Hybrid,23,0,5
EMP0144,55,Prefer not to say,Designer,Finance,3,Onsite,33,6,5
EMP0145,47,Non-binary,HR,Education,18,Remote,35,15,5
EMP0146,48,Non-binary,Marketing,Consulting,5,Remote,41,8,3
EMP0147,36,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,34,12,2
EMP0148,45,Male,Designer,Finance,14,Remote,44,10,1
EMP0149,41,Female,Designer,IT,10,Onsite,52,8,4
EMP0150,50,Male,Designer,Consulting,17,Onsite,57,11,2
EMP0151,41,Female,Software Engineer,Consulting,34,Remote,32,15,3
EMP0152,57,Female,Designer,Consulting,20,Remote,31,6,4
EMP0153,30,Male,Software Engineer,Healthcare,29,Hybrid,58,15,1
EMP0154,23,Female,Data Scientist,Consulting,31,Remote,26,9,1
EMP0155,30,Male,Software Engineer,Consulting,17,Remote,57,5,1
EMP0156,47,Female,Project Manager,Healthcare,31,Onsite,20,8,1
EMP0157,33,Prefer not to say,Project Manager,Finance,23,Hybrid,26,0,4
EMP0158,32,Male,Data Scientist,Finance,21,Hybrid,43,15,3
EMP0159,43,Male,Designer,Manufacturing,6,Onsite,50,14,3
EMP0160,43,Non-binary,Software Engineer,Healthcare,14,Onsite,52,0,5
EMP0161,35,Female,Marketing,IT,34,Hybrid,37,1,4
EMP0162,40,Female,Data Scientist,Education,24,Hybrid,38,0,3
EMP0163,29,Prefer not to say,Designer,Consulting,3,Hybrid,55,11,1
EMP0164,24,Non-binary,Data Scientist,Manufacturing,5,Hybrid,53,14,1
EMP0165,40,Male,Software Engineer,Healthcare,11,Onsite,20,13,1
EMP0166,22,Female,Software Engineer,Manufacturing,10,Hybrid,46,1,2
EMP0167,48,Non-binary,Software Engineer,Education,35,Onsite,30,8,2
EMP0168,60,Non-binary,Software Engineer,Retail,27,Remote,50,8,2
EMP0169,34,Prefer not to say,HR,Healthcare,15,Remote,50,13,2
EMP0170,50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,50,0,1
EMP0171,38,Male,Designer,Retail,19,Remote,23,7,1
EMP0172,36,Male,Data Scientist,Retail,33,Onsite,45,3,4
EMP0173,35,Non-binary,Software Engineer,Finance,11,Hybrid,25,4,1
EMP0174,25,Prefer not to say,Designer,Manufacturing,35,Remote,36,9,2
EMP0175,34,Non-binary,HR,Education,10,Onsite,60,3,2
EMP0176,32,Prefer not to say,Project Manager,Healthcare,12,Remote,35,7,3
EMP0177,58,Prefer not to say,Marketing,Manufacturing,14,Hybrid,55,12,3
EMP0178,40,Female,Project Manager,Finance,31,Onsite,47,10,1
EMP0179,56,Female,HR,Healthcare,32,Hybrid,57,10,4
EMP0180,44,Non-binary,HR,Education,17,Hybrid,22,9,2
EMP0181,30,Non-binary,Data Scientist,IT,22,Remote,43,5,1
EMP0182,49,Non-binary,Marketing,Consulting,29,Remote,45,9,5
EMP0183,26,Male,Designer,Healthcare,21,Onsite,56,14,2
EMP0184,52,Male,Data Scientist,IT,22,Onsite,46,14,3
EMP0185,24,Prefer not to say,HR,Manufacturing,13,Hybrid,60,0,5
EMP0186,40,Non-binary,Designer,Consulting,12,Remote,32,9,1
EMP0187,57,Non-binary,HR,Manufacturing,11,Hybrid,59,13,5
EMP0188,23,Prefer not to say,Software Engineer,Consulting,17,Onsite,60,13,5
EMP0189,40,Prefer not to say,Data Scientist,IT,35,Hybrid,43,4,5
EMP0190,45,Male,Data Scientist,Education,15,Remote,33,8,1
EMP0191,46,Female,Data Scientist,Finance,11,Hybrid,20,14,3
EMP0192,37,Female,Software Engineer,Retail,16,Hybrid,27,2,1
EMP0193,51,Female,Software Engineer,Healthcare,4,Onsite,43,1,5
EMP0194,52,Male,Sales,IT,29,Onsite,23,12,2
EMP0195,53,Male,Data Scientist,Education,22,Onsite,29,0,1
EMP0196,39,Male,Sales,Education,7,Remote,47,0,2
EMP0197,56,Female,Designer,Healthcare,28,Onsite,46,12,1
EMP0198,59,Non-binary,Marketing,Manufacturing,13,Hybrid,40,2,1
EMP0199,28,Male,Project Manager,Retail,7,Remote,47,0,4
EMP0200,36,Female,Data Scientist,Finance,3,Remote,53,7,3
EMP0201,45,Non-binary,Sales,Education,3,Hybrid,55,14,4
EMP0202,52,Male,Sales,Retail,2,Remote,40,1,2
EMP0203,55,Female,Project Manager,IT,32,Hybrid,28,8,5
EMP0204,58,Male,Sales,Consulting,18,Hybrid,39,14,3
EMP0205,51,Prefer not to say,Software Engineer,IT,14,Onsite,41,5,5
EMP0206,52,Male,Data Scientist,Finance,5,Onsite,21,3,5
EMP0207,54,Non-binary,Project Manager,IT,12,Onsite,34,11,3
EMP0208,35,Male,Designer,Retail,2,Remote,36,14,3
EMP0209,39,Male,Marketing,Manufacturing,19,Remote,32,2,4
EMP0210,47,Prefer not to say,Sales,Consulting,7,Hybrid,21,8,2
EMP0211,49,Male,Project Manager,Manufacturing,31,Onsite,56,3,5
EMP0212,60,Prefer not to say,Marketing,Manufacturing,33,Onsite,58,8,4
EMP0213,47,Female,Software Engineer,Manufacturing,11,Onsite,35,8,1
EMP0214,27,Prefer not to say,Project Manager,Healthcare,22,Hybrid,52,3,1
EMP0215,46,Prefer not to say,Marketing,Consulting,30,Remote,33,8,1
EMP0216,25,Non-binary,Software Engineer,Manufacturing,22,Remote,47,9,2
EMP0217,30,Male,HR,Education,11,Onsite,56,13,3
EMP0218,38,Prefer not to say,Data Scientist,Education,35,Onsite,33,4,2
EMP0219,56,Female,HR,Education,5,Remote,60,9,3
EMP0220,42,Male,Sales,Manufacturing,23,Hybrid,32,5,4
EMP0221,42,Prefer not to say,Project Manager,Retail,18,Hybrid,48,9,5
EMP0222,30,Female,HR,IT,20,Hybrid,39,6,4
EMP0223,33,Male,Software Engineer,Consulting,6,Onsite,23,6,3
EMP0224,28,Non-binary,Marketing,Retail,29,Hybrid,38,3,3
EMP0225,50,Non-binary,Designer,Manufacturing,1,Remote,30,5,1
EMP0226,44,Male,Software Engineer,Retail,4,Onsite,35,3,1
EMP0227,40,Female,Data Scientist,Healthcare,6,Remote,22,0,5
EMP0228,23,Male,Project Manager,IT,8,Onsite,28,15,2
EMP0229,30,Female,Marketing,Consulting,32,Onsite,57,4,3
EMP0230,42,Female,HR,Manufacturing,10,Hybrid,48,14,2
EMP0231,52,Male,Marketing,Retail,7,Onsite,45,14,1
EMP0232,37,Male,Marketing,Healthcare,29,Onsite,34,3,4
EMP0233,28,Prefer not to say,Marketing,Manufacturing,19,Hybrid,59,9,5
EMP0234,31,Prefer not to say,Software Engineer,Consulting,18,Remote,31,6,3
EMP0235,23,Prefer not to say,Marketing,Retail,9,Onsite,55,12,4
EMP0236,37,Male,Data Scientist,Finance,18,Remote,23,11,2
EMP0237,25,Male,HR,Healthcare,33,Hybrid,51,7,1
EMP0238,55,Female,Software Engineer,Manufacturing,13,Remote,32,11,5
EMP0239,56,Non-binary,Marketing,IT,4,Remote,41,14,5
EMP0240,51,Prefer not to say,Software Engineer,Manufacturing,24,Hybrid,46,10,1
EMP0241,35,Male,HR,Education,6,Onsite,58,15,4
EMP0242,22,Non-binary,Sales,Manufacturing,2,Onsite,59,13,2
EMP0243,34,Non-binary,Project Manager,Education,10,Remote,40,1,1
EMP0244,37,Prefer not to say,Sales,Retail,32,Remote,56,3,2
EMP0245,59,Prefer not to say,Software Engineer,Finance,17,Onsite,47,11,2
EMP0246,53,Female,Project Manager,IT,25,Hybrid,38,2,2
EMP0247,38,Male,Data Scientist,Healthcare,25,Remote,59,12,5
EMP0248,32,Male,Project Manager,Manufacturing,17,Onsite,47,4,1
EMP0249,36,Prefer not to say,HR,Manufacturing,17,Remote,49,6,3
EMP0250,29,Female,Project Manager,Manufacturing,18,Hybrid,20,6,5
EMP0251,38,Non-binary,Project Manager,Manufacturing,26,Hybrid,50,9,1
EMP0252,32,Male,Project Manager,Education,21,Hybrid,32,0,4
EMP0253,43,Prefer not to say,Sales,IT,21,Hybrid,23,8,3
EMP0254,46,Prefer not to say,HR,IT,25,Remote,22,13,3
EMP0255,42,Prefer not to say,Data Scientist,Education,4,Hybrid,33,11,5
EMP0256,27,Male,Project Manager,Education,25,Hybrid,32,13,3
EMP0257,54,Prefer not to say,Marketing,Retail,10,Onsite,51,0,1
EMP0258,43,Male,Designer,Healthcare,34,Hybrid,49,11,3
EMP0259,31,Female,Data Scientist,Education,9,Remote,30,9,1
EMP0260,53,Non-binary,Software Engineer,Education,11,Remote,25,9,2
EMP0261,57,Non-binary,Software Engineer,Manufacturing,3,Onsite,40,12,4
EMP0262,50,Non-binary,Project Manager,Finance,20,Onsite,32,13,1
EMP0263,37,Male,Sales,Education,18,Onsite,20,15,3
EMP0264,58,Female,Project Manager,Retail,8,Hybrid,35,5,5
EMP0265,57,Non-binary,Sales,Manufacturing,32,Remote,49,2,1
EMP0266,50,Prefer not to say,Sales,Retail,21,Onsite,34,5,4
EMP0267,48,Male,Project Manager,Manufacturing,33,Hybrid,58,13,3
EMP0268,43,Non-binary,HR,Consulting,15,Onsite,26,4,4
EMP0269,58,Female,Marketing,Retail,12,Onsite,36,7,4
EMP0270,30,Male,Designer,Education,32,Hybrid,48,3,4
EMP0271,44,Non-binary,HR,Finance,3,Onsite,57,5,4
EMP0272,41,Prefer not to say,HR,Finance,28,Hybrid,32,8,2
EMP0273,60,Female,Marketing,Healthcare,17,Remote,55,7,4
EMP0274,58,Non-binary,Designer,Finance,35,Hybrid,28,3,3
EMP0275,60,Prefer not to say,Sales,Consulting,7,Onsite,53,10,2
EMP0276,27,Non-binary,Designer,Finance,34,Onsite,36,10,4
EMP0277,38,Female,Sales,Manufacturing,18,Remote,54,7,4
EMP0278,56,Male,Marketing,Healthcare,8,Remote,33,8,3
EMP0279,31,Male,Designer,Finance,19,Onsite,39,1,4
EMP0280,37,Prefer not to say,Software Engineer,Healthcare,25,Hybrid,33,11,1
EMP0281,41,Female,Software Engineer,Education,2,Hybrid,48,4,1
EMP0282,58,Male,Designer,Education,10,Remote,60,7,5
EMP0283,49,Male,Data Scientist,IT,35,Remote,24,1,1
EMP0284,23,Non-binary,Data Scientist,Healthcare,18,Remote,28,7,5
EMP0285,24,Non-binary,Project Manager,Manufacturing,12,Hybrid,20,14,2
EMP0286,41,Prefer not to say,Project Manager,Finance,35,Onsite,28,14,4
EMP0287,32,Female,HR,Consulting,23,Remote,48,12,4
EMP0288,47,Prefer not to say,Sales,Healthcare,10,Hybrid,51,5,2
EMP0289,23,Non-binary,Designer,IT,22,Hybrid,39,5,4
EMP0290,34,Prefer not to say,Marketing,Retail,14,Remote,25,2,4
EMP0291,42,Male,Sales,IT,32,Hybrid,53,12,1
EMP0292,42,Prefer not to say,HR,IT,10,Hybrid,44,13,4
EMP0293,33,Female,Sales,Education,22,Hybrid,31,3,3
EMP0294,40,Male,Designer,Healthcare,3,Onsite,58,2,5
EMP0295,27,Male,Marketing,Healthcare,33,Hybrid,26,5,4
EMP0296,39,Prefer not to say,Data Scientist,Consulting,33,Hybrid,20,4,3
EMP0297,42,Female,Marketing,IT,11,Hybrid,28,14,3
EMP0298,22,Non-binary,Sales,Healthcare,7,Remote,35,14,5
EMP0299,45,Female,Marketing,Finance,9,Remote,30,14,2
EMP0300,47,Female,Data Scientist,Finance,6,Hybrid,28,0,1
EMP0301,24,Non-binary,Designer,Retail,16,Remote,21,4,3
EMP0302,48,Non-binary,HR,IT,2,Remote,56,13,2
EMP0303,60,Non-binary,Software Engineer,Retail,13,Hybrid,25,10,3
EMP0304,41,Non-binary,Software Engineer,Education,20,Remote,21,0,1
EMP0305,49,Prefer not to say,Project Manager,Retail,17,Remote,50,2,4
EMP0306,27,Prefer not to say,Data Scientist,Finance,16,Onsite,50,3,5
EMP0307,35,Prefer not to say,Marketing,Manufacturing,14,Hybrid,27,10,2
EMP0308,23,Male,Software Engineer,Consulting,3,Onsite,31,14,4
EMP0309,24,Prefer not to say,Designer,Finance,27,Hybrid,45,11,3
EMP0310,41,Non-binary,Sales,Education,25,Remote,23,8,2
EMP0311,41,Prefer not to say,Designer,IT,32,Onsite,42,14,3
EMP0312,43,Female,Data Scientist,Finance,16,Onsite,37,8,1
EMP0313,30,Non-binary,Sales,IT,15,Onsite,40,7,5
EMP0314,44,Male,HR,Retail,26,Onsite,23,1,3
EMP0315,50,Male,Marketing,Education,22,Remote,20,3,3
EMP0316,48,Non-binary,Designer,Manufacturing,16,Remote,51,8,5
EMP0317,45,Male,Marketing,IT,2,Onsite,46,1,2
EMP0318,60,Male,HR,Education,6,Remote,37,7,2
EMP0319,51,Prefer not to say,Project Manager,Education,6,Onsite,42,4,2
EMP0320,48,Prefer not to say,HR,Retail,4,Hybrid,53,15,4
EMP0321,43,Female,Marketing,Consulting,25,Hybrid,26,0,2
EMP0322,23,Prefer not to say,Marketing,Education,31,Onsite,48,9,3
EMP0323,32,Male,Marketing,Education,1,Onsite,58,0,3
EMP0324,44,Non-binary,HR,Consulting,29,Hybrid,52,7,1
EMP0325,36,Female,Marketing,Finance,4,Hybrid,52,13,4
EMP0326,50,Male,Designer,Manufacturing,2,Onsite,49,7,2
EMP0327,54,Non-binary,Marketing,Consulting,19,Hybrid,55,4,2
EMP0328,54,Male,Designer,Healthcare,13,Remote,33,0,2
EMP0329,33,Prefer not to say,HR,Healthcare,2,Onsite,24,12,1
EMP0330,47,Prefer not to say,Sales,Consulting,31,Onsite,21,15,5
EMP0331,25,Prefer not to say,Software Engineer,Education,28,Remote,55,12,5
EMP0332,38,Male,Sales,Education,25,Remote,44,10,5
EMP0333,31,Female,Software Engineer,Manufacturing,21,Onsite,24,7,4
EMP0334,58,Male,Marketing,IT,11,Onsite,25,6,2
EMP0335,28,Prefer not to say,Designer,Education,16,Hybrid,40,0,4
EMP0336,54,Prefer not to say,Sales,IT,32,Hybrid,59,3,2
EMP0337,60,Female,Software Engineer,IT,31,Onsite,22,9,4
EMP0338,38,Non-binary,Designer,Consulting,4,Hybrid,47,15,5
EMP0339,31,Female,Sales,Finance,32,Hybrid,31,15,2
EMP0340,42,Non-binary,Designer,IT,2,Onsite,41,5,5
EMP0341,52,Female,Data Scientist,Manufacturing,18,Remote,52,0,1
EMP0342,41,Female,HR,Finance,6,Hybrid,48,0,2
EMP0343,44,Male,Project Manager,Finance,20,Onsite,41,14,5
EMP0344,42,Female,Data Scientist,Finance,15,Remote,21,7,3
EMP0345,53,Male,Software Engineer,Healthcare,3,Hybrid,49,15,2
EMP0346,52,Female,Software Engineer,Education,29,Remote,32,7,4
EMP0347,23,Non-binary,Marketing,Education,12,Remote,40,12,1
EMP0348,24,Female,Sales,Finance,23,Onsite,22,10,4
EMP0349,41,Prefer not to say,Project Manager,Consulting,34,Hybrid,44,9,3
EMP0350,60,Prefer not to say,HR,Manufacturing,16,Onsite,41,15,1
EMP0351,25,Prefer not to say,Designer,Manufacturing,6,Remote,37,11,1
EMP0352,55,Prefer not to say,HR,Healthcare,18,Onsite,54,12,3
EMP0353,33,Non-binary,Software Engineer,Retail,3,Onsite,31,3,1
EMP0354,43,Prefer not to say,Data Scientist,Consulting,14,Hybrid,53,13,2
EMP0355,59,Male,Project Manager,Education,20,Remote,23,13,5
EMP0356,48,Male,Sales,Healthcare,2,Remote,58,3,1
EMP0357,31,Non-binary,HR,Finance,9,Remote,26,7,1
EMP0358,28,Male,Designer,Manufacturing,23,Remote,46,7,3
EMP0359,49,Male,Sales,Manufacturing,6,Remote,20,7,3
EMP0360,56,Prefer not to say,HR,Finance,13,Hybrid,56,0,2
EMP0361,56,Non-binary,Sales,Retail,30,Onsite,28,15,1
EMP0362,51,Female,Sales,Consulting,10,Hybrid,39,2,1
EMP0363,38,Non-binary,Designer,Manufacturing,11,Onsite,22,10,4
EMP0364,40,Male,Project Manager,IT,9,Onsite,32,4,3
EMP0365,56,Non-binary,Project Manager,Consulting,23,Hybrid,28,9,1
EMP0366,33,Non-binary,Sales,IT,12,Hybrid,22,6,4
EMP0367,45,Male,Marketing,Manufacturing,28,Onsite,53,2,5
EMP0368,55,Non-binary,Sales,IT,32,Hybrid,33,11,2
EMP0369,39,Female,Data Scientist,Manufacturing,33,Remote,34,5,1
EMP0370,58,Non-binary,Software Engineer,Education,2,Remote,50,0,4
EMP0371,41,Non-binary,Data Scientist,Healthcare,33,Onsite,28,1,1
EMP0372,57,Prefer not to say,Marketing,Healthcare,16,Onsite,51,7,4
EMP0373,31,Female,Software Engineer,Education,12,Remote,35,0,5
EMP0374,34,Prefer not to say,Sales,Healthcare,25,Remote,39,8,3
EMP0375,39,Prefer not to say,Software Engineer,Healthcare,8,Hybrid,58,14,1
EMP0376,29,Non-binary,Designer,IT,26,Hybrid,34,3,3
EMP0377,31,Prefer not to say,Designer,IT,7,Hybrid,48,4,1
EMP0378,30,Female,Designer,Healthcare,2,Remote,52,0,5
EMP0379,53,Prefer not to say,Designer,Healthcare,35,Remote,59,8,5
EMP0380,27,Male,Marketing,Consulting,15,Remote,32,14,2
EMP0381,39,Male,Designer,Education,28,Remote,41,4,3
EMP0382,59,Male,Project Manager,Education,18,Remote,34,14,2
EMP0383,58,Non-binary,HR,Consulting,10,Hybrid,41,8,3
EMP0384,28,Prefer not to say,Sales,Education,5,Remote,55,9,3
EMP0385,56,Male,Designer,IT,27,Remote,50,8,2
EMP0386,31,Non-binary,Project Manager,Healthcare,4,Remote,25,9,1
